9348022;TOTONICAPAN;XOLSACMALJA (CASERIO)
9350847;TOTONICAPAN;XANTUN (CASERIO)
9350853;TOTONICAPAN;XANTUN (CASERIO)
9697836;HUEHUETENANGO;CHANXAC
9748333;HUEHUETENANGO;SUJAL
9748739;HUEHUETENANGO;SUJAL
9899361;QUICHE;EL TESORO
9899921;QUICHE;CHACAGUEX
9948057;HUEHUETENANGO;TUISCAP
9948073;HUEHUETENANGO;TUISCAP
10649123;HUEHUETENANGO;CHICOL
10897830;SOLOLA;SAN GABRIEL (CASERIO)
10898415;SOLOLA;SAN ANTONIO PALOPO
10898517;SOLOLA;SAN ANTONIO PALOPO
11349726;SAN MARCOS;TUICAMPANA
11648413;SOLOLA;CHIRIJALIMA
11648418;SOLOLA;CHIRIJALIMA
11652265;SOLOLA;PACHIPAC
11652286;SOLOLA;PASAC (XEJUYUP)
11698696;SOLOLA;CHUAXAJIL
11700932;SOLOLA;CHUAXAJIL
11700933;SOLOLA;CHUAXAJIL
12697713;SOLOLA;SACBOCHOL (CASERIO)
12698085;SOLOLA;LOS CHURUNELES I
12698102;SOLOLA;LOS CHURUNELES I
12698111;SOLOLA;LOS CHURUNELES I
12698148;SOLOLA;EL PROGRESO
12698300;SOLOLA;EL TRIUNFO
12698376;SOLOLA;LA FE
12698445;SOLOLA;EL TRIUNFO
12698456;SOLOLA;EL ENCANTO
12698490;SOLOLA;LOS CHURUNELES II (CASERIO)
12698605;SOLOLA;EL TRIUNFO
12698651;SOLOLA;LOS ENCUENTROS
12698728;SOLOLA;LOS ENCUENTROS
12699344;SOLOLA;SAN FRANCISCO
12699727;SOLOLA;PIXABAJ
12699736;SOLOLA;CHUACORRAL
12700397;SOLOLA;PIXABAJ
13150230;HUEHUETENANGO;GUAXACANA
13597743;SAN MARCOS;CUNLAJ
13599434;SAN MARCOS;LA VEGA O NUEVO PALMAR
13599642;SAN MARCOS;TRES PUENTES
13647872;SAN MARCOS;LA CIENAGA
13647891;SAN MARCOS;LA CIENAGA
13647893;SAN MARCOS;LA CIENAGA
13647901;SAN MARCOS;LA CIENAGA
13647913;SAN MARCOS;LA CIENAGA
13647983;SAN MARCOS;SANTA ROSA (CASERIO)
13648070;SAN MARCOS;SANTA ROSA (CASERIO)
13648135;SAN MARCOS;SANTA ROSA (CASERIO)
13648255;SAN MARCOS;EL PORVENIR TALQUICHO (PUEBLO)
13799043;SAN MARCOS;PALIN
350497862;SOLOLA;EL ROSARIO
350497927;SOLOLA;PIXABAJ
350498021;SOLOLA;PIXABAJ
350498391;SOLOLA;PIXABAJ
352998285;SOLOLA;GUINEALES
356997680;SOLOLA;JAIBALITO
358497654;SOLOLA;PALESTINA
358497825;SOLOLA;PASAJQUIM
359497916;SOLOLA;CERRO DE ORO
359497925;SOLOLA;CERRO DE ORO
359497970;SOLOLA;CERRO DE ORO
402497900;TOTONICAPAN;CHOMOXOL
402498198;TOTONICAPAN;BARRIO SANTA ISABEL
402499116;TOTONICAPAN;BARRIO SANTA ISABEL
402997752;TOTONICAPAN;XEJUYUP
402997756;TOTONICAPAN;XEJUYUP
402997814;TOTONICAPAN;XEJUYUP
402997815;TOTONICAPAN;XEJUYUP
402998028;TOTONICAPAN;CHUACHITUJ (CIUDAD)
403998078;TOTONICAPAN;XEABAJ (CIUDAD)
600498278;SAN MARCOS;LA FEDERACION
600498590;SAN MARCOS;EL RINCON
600499208;SAN MARCOS;LA FEDERACION
600499491;SAN MARCOS;LA FEDERACION
600500261;SAN MARCOS;LA FEDERACION
600500327;SAN MARCOS;LA FEDERACION
600501215;SAN MARCOS;CAXAQUE
600501438;SAN MARCOS;LA FEDERACION
601000443;SAN MARCOS;SAN FRANCISCO SOCHE
601498317;SAN MARCOS;LA FELICIDAD
601498367;SAN MARCOS;LA FELICIDAD
601998324;SAN MARCOS;CHAMAQUE
601998328;SAN MARCOS;CHAMAQUE
601998332;SAN MARCOS;CHAMAQUE
601998339;SAN MARCOS;CHAMAQUE
602998177;SAN MARCOS;NINCHIN
603498497;SAN MARCOS;CUNLAJ
603601987;SAN MARCOS;TRES PUENTES
604498314;SAN MARCOS;TUIQUINQUE
604997688;SAN MARCOS;LAS MANZANILLAS I
604997729;SAN MARCOS;JULEN (CASERIO)
604998325;SAN MARCOS;LAS MANZANILLAS I
605498310;SAN MARCOS;EL MATAZANO
605498507;SAN MARCOS;NUEVA LIBERTAD
605498712;SAN MARCOS;LA CEIBA
605499139;SAN MARCOS;NUEVA LIBERTAD
605997719;SAN MARCOS;PALIN
606500384;SAN MARCOS;LA PERLA
606998709;SAN MARCOS;EL PENSAMIENTO
606998951;SAN MARCOS;EL RODEO
607504066;SAN MARCOS;SANTO DOMINGO BELEN
607998054;SAN MARCOS;BUENA VISTA LAS FLORES
608499520;SAN MARCOS;EL TRIUNFO (ALDEA)
609497670;SAN MARCOS;BARRANCA HONDA
609499178;SAN MARCOS;LA CUMBRE
609501398;SAN MARCOS;SANTO DOMINGO
609501502;SAN MARCOS;SANTO DOMINGO
609997864;SAN MARCOS;JUNCA
610497782;SAN MARCOS;LAS PALMAS O LAS AMERICAS (CASERIO)
611497818;SAN MARCOS;EL REMATE
611498024;SAN MARCOS;EL PLAN
613497936;SAN MARCOS;VILLA HERMOSA
613498032;SAN MARCOS;VILLA HERMOSA
613498427;SAN MARCOS;POJOPOM
613498433;SAN MARCOS;POJOPOM
613997941;SAN MARCOS;PUEBLO VIEJO
613998219;SAN MARCOS;EL DURAZNO
613998220;SAN MARCOS;EL DURAZNO
613998250;SAN MARCOS;LAS MANZANAS
614497924;SAN MARCOS;LA CIENAGA
614497928;SAN MARCOS;LA CIENAGA
614497939;SAN MARCOS;LA CIENAGA
650503810;HUEHUETENANGO;EL CARRIZAL
651001558;HUEHUETENANGO;LOS REGADIOS
651498330;HUEHUETENANGO;SILPAZAN
651498900;HUEHUETENANGO;LA CUMBRE
651498999;HUEHUETENANGO;SILPAZAN
652497938;HUEHUETENANGO;LA TRINIDAD (FINCA)
652997687;HUEHUETENANGO;LOS COLES (CASERIO)
652997901;HUEHUETENANGO;LOS COLES (CASERIO)
654000031;HUEHUETENANGO;IXLAHUITZ
654997835;HUEHUETENANGO;CHICOL
655998676;HUEHUETENANGO;SAN JOSE IXCUNEN (CASERIO)
655998889;HUEHUETENANGO;NUEVA ESPERANZA (CASERIO)
657997897;HUEHUETENANGO;IXQUILAM
657997904;HUEHUETENANGO;IXQUILAM
659498115;HUEHUETENANGO;LUMINOCHE
659997746;HUEHUETENANGO;SUJAL
659997855;HUEHUETENANGO;SUJAL
660997709;HUEHUETENANGO;CONCEPCION HUISTA
661498088;HUEHUETENANGO;TOJQUIA
661998835;HUEHUETENANGO;TABLON VIEJO
664497683;HUEHUETENANGO;CHANXAC
664497712;HUEHUETENANGO;COXTON
700500778;QUICHE;XESIC I CENTRO
700502551;QUICHE;XESIC I CENTRO
700502887;QUICHE;XESIC I CENTRO
707997919;QUICHE;CHACAGUEX
709498650;QUICHE;PERICONCITO (CASERIO)
