27955;Si;Si;;Quinto Primaria;Cuarto Primaria;
27955;Si;Si;;Tercero Primaria;Segundo Primaria;
72725;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
72725;No;No;Otra causa;Ninguno;Ninguno;
72725;Si;Si;;Primero Basico;Sexto Primaria;
72730;Si;No;Falta de dinero;Ninguno;Sexto Primaria;Trabajador(a) cuenta propia no agra­cola
72730;Si;Si;;Primero Primaria;Preprimaria;
72730;Si;Si;;Segundo Basico;Primero Basico;
72731;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
72731;Si;Si;;Quinto Primaria;Cuarto Primaria;
372846;Si;Si;;Cuarto Primaria;Tercero Primaria;
372846;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
372846;No;Si;;Preprimaria;Ninguno;
372846;Si;Si;;Sexto Primaria;Quinto Primaria;
372846;Si;Si;;Tercero Primaria;Segundo Primaria;
373190;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
373190;Si;No;Falta de dinero;Ninguno;Quinto Primaria;
373190;No;Si;;Preprimaria;Ninguno;
373190;Si;Si;;Segundo Primaria;Primero Primaria;
373190;Si;Si;;Tercero Primaria;Segundo Primaria;
498023;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
498023;Si;No;Falta de dinero;Ninguno;Sexto Primaria;
498023;Si;Si;;Sexto Primaria;Quinto Primaria;
498072;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
498072;Si;Si;;Quinto Primaria;Cuarto Primaria;
6749244;Si;No;Falta de dinero;Ninguno;Primero Primaria;Trabajador(a) cuenta propia agra­cola
6749244;Si;Si;;Tercero Primaria;Segundo Primaria;
6750269;Si;Si;;Cuarto Primaria;Tercero Primaria;
6750269;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
6750269;Si;Si;;Sexto Primaria;Quinto Primaria;
6750269;Si;Si;;Tercero Primaria;Segundo Primaria;
6751859;Si;Si;;Cuarto Primaria;Tercero Primaria;
6751859;Si;No;Falta de dinero;Ninguno;Primero Primaria;Trabajador(a) cuenta propia no agra­cola
6751859;Si;Si;;Sexto Primaria;Quinto Primaria;
6752003;Si;Si;;Cuarto Primaria;Tercero Primaria;
6752003;No;No;Falta de dinero;Ninguno;Primero Primaria;Trabajador(a) cuenta propia no agra­cola
6752003;Si;No;Falta de dinero;Ninguno;Sexto Primaria;
6752187;Si;No;Falta de dinero;Ninguno;Tercero Primaria;Trabajador(a) cuenta propia no agra­cola
6752187;Si;Si;;Preprimaria;Ninguno;
6752187;Si;Si;;Segundo Primaria;Primero Primaria;
6752574;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
6752574;Si;Si;;Segundo Primaria;Primero Primaria;
6752576;Si;Si;;Cuarto Primaria;Tercero Primaria;
6752576;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
6752576;Si;Si;;Sexto Primaria;Quinto Primaria;
7498190;No;No;Falta de dinero;Ninguno;Ninguno;No Trabaja
7498190;Si;Si;;Quinto Primaria;Cuarto Primaria;
7498190;Si;Si;;Segundo Primaria;Primero Primaria;
7498190;Si;Si;;Sexto Primaria;Quinto Primaria;
7498586;No;No;Otra causa;Ninguno;Ninguno;
7498586;Si;No;Falta de dinero;Ninguno;Segundo Primaria;No Trabaja
7498586;Si;No;No le interesa;Ninguno;Sexto Primaria;
7498586;Si;Si;;Quinto Primaria;Cuarto Primaria;
7498662;Si;Si;;Cuarto Primaria;Tercero Primaria;
7498662;Si;No;Falta de dinero;Ninguno;Primero Primaria;No Trabaja
7697962;Si;Si;;Cuarto Primaria;Tercero Primaria;
7697962;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
7697962;No;Si;;Preprimaria;Ninguno;
7697988;Si;No;Falta de dinero;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia no agra­cola
7697988;Si;Si;;Segundo Primaria;Primero Primaria;
8047855;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
8098618;Si;No;Falta de dinero;Ninguno;Segundo Primaria;No Trabaja
8098618;Si;Si;;Quinto Primaria;Cuarto Primaria;
8098618;Si;Si;;Tercero Primaria;Segundo Primaria;
8299456;Si;No;Falta de dinero;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia no agra­cola
8299456;No;No;Otra causa;Ninguno;Ninguno;
8299456;No;Si;;Primero Primaria;Preprimaria;
8347968;Si;No;Falta de dinero;Ninguno;Quinto Primaria;No Trabaja
8347968;Si;No;No le interesa;Ninguno;Sexto Primaria;
8347968;No;Si;;Primero Primaria;Preprimaria;
8347968;Si;Si;;Quinto Primaria;Cuarto Primaria;
8347968;Si;Si;;Tercero Primaria;Segundo Primaria;
8347970;Si;Si;;Cuarto Primaria;Tercero Primaria;
8347970;Si;No;Falta de dinero;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia agra­cola
8347970;Si;No;No le interesa;Ninguno;Sexto Primaria;
8348595;Si;No;No le interesa;Ninguno;Tercero Primaria;Trabajador(a) cuenta propia no agra­cola
8348595;Si;Si;;Segundo Primaria;Primero Primaria;
8348761;Si;No;Falta de dinero;Ninguno;Segundo Primaria;No Trabaja
8348761;Si;Si;;Primero Basico;Sexto Primaria;
8348761;Si;Si;;Tercero Primaria;Segundo Primaria;
8348782;Si;Si;;Cuarto Primaria;Tercero Primaria;
8348782;Si;No;Falta de dinero;Ninguno;Tercero Primaria;No Trabaja
8348782;Si;Si;;Tercero Primaria;Segundo Primaria;
8348787;Si;No;Falta de dinero;Ninguno;Segundo Primaria;No Trabaja
8348787;Si;Si;;Sexto Primaria;Quinto Primaria;
8348792;No;No;Otra causa;Ninguno;Ninguno;
8348792;Si;No;No le interesa;Ninguno;Sexto Primaria;
8348792;Si;No;Falta de dinero;Ninguno;Tercero Primaria;No Trabaja
8348792;Si;No;No le interesa;Ninguno;Tercero Primaria;
8499967;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
8499967;Si;Si;;Segundo Primaria;Primero Primaria;
8499967;Si;Si;;Sexto Primaria;Quinto Primaria;
8499967;Si;Si;;Tercero Primaria;Segundo Primaria;
8499979;Si;Si;;Cuarto Primaria;Tercero Primaria;
8499979;Si;No;Falta de dinero;Ninguno;Sexto Primaria;
8499979;Si;No;Falta de dinero;Ninguno;Tercero Primaria;Trabajador(a) cuenta propia agra­cola
8499990;Si;Si;;Cuarto Primaria;Tercero Primaria;
8499990;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
8499990;No;Si;;Preprimaria;Ninguno;
8499990;Si;Si;;Sexto Primaria;Quinto Primaria;
8499992;Si;No;Falta de dinero;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia agra­cola
8499992;Si;No;Falta de dinero;Ninguno;Sexto Primaria;
8499992;No;Si;;Preprimaria;Ninguno;
8499992;Si;Si;;Quinto Primaria;Cuarto Primaria;
8499992;Si;Si;;Sexto Primaria;Quinto Primaria;
8500828;Si;No;Falta de dinero;Ninguno;Tercero Primaria;Trabajador(a) cuenta propia agra­cola
8500828;No;Si;;Preprimaria;Ninguno;
8500828;Si;Si;;Primero Primaria;Preprimaria;
8500828;Si;Si;;Segundo Primaria;Primero Primaria;
8548357;Si;No;Falta de dinero;Ninguno;Segundo Primaria;No Trabaja
8548357;Si;Si;;Quinto Primaria;Cuarto Primaria;
8550515;No;No;Falta de dinero;Ninguno;Ninguno;No Trabaja
8550515;Si;Si;;Primero Primaria;Preprimaria;
8550515;Si;Si;;Tercero Primaria;Segundo Primaria;
8550557;Si;No;Falta de dinero;Ninguno;Sexto Primaria;No Trabaja
8550557;No;Si;;Preprimaria;Ninguno;
8550557;Si;Si;;Quinto Primaria;Cuarto Primaria;
8597925;Si;No;Oficios de la casa;Ninguno;Sexto Primaria;No Trabaja
8597925;Si;Si;;Primero Primaria;Preprimaria;
8597929;Si;Si;;Cuarto Primaria;Tercero Primaria;
8597929;No;No;Oficios de la casa;Ninguno;Ninguno;No Trabaja
8597929;No;Si;;Preprimaria;Ninguno;
8597929;Si;Si;;Primero Primaria;Preprimaria;
8598028;No;No;Falta de dinero;Ninguno;Ninguno;No Trabaja
8598028;Si;Si;;Segundo Primaria;Primero Primaria;
8598028;Si;Si;;Sexto Primaria;Quinto Primaria;
8598028;Si;Si;;Tercero Primaria;Segundo Primaria;
8598167;No;No;Otra causa;Ninguno;Ninguno;
8598167;Si;No;Oficios de la casa;Ninguno;Sexto Primaria;No Trabaja
8598167;Si;Si;;Primero Primaria;Preprimaria;
8598167;Si;Si;;Quinto Primaria;Cuarto Primaria;
